鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總件數,總車位數,平均總價元,平均車位總價元
新莊區,房地(土地+建物),復興路二段31~60號,20.16,都市：其他:住宅區,,,1091221,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,137.04,3,2,2,有,有,14780000,107852,,0.0,0,陽台外推;其他增建;,RPTPNLQJJHGGFBF97DA,98.2,2.23,10.9,有,,2,0,7390000,0
土城區,房地(土地+建物),明德路二段121~150號,11.6,都市：其他:第一種住宅區,,,1100110,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830614,82.63,2,2,1,有,有,10800000,130703,,0.0,0,陽台外推;其他增建;,RPUNMLNLKHGGFAF67DA,60.01,0.0,6.83,有,333.0,2,0,5400000,0
土城區,房地(土地+建物),民安街1~30號,19.46,都市：其他:住宅區,,,1080331,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090917,64.55000000000001,2,1,1,有,有,6580000,101936,,0.0,0,,RPWSMLOLKHGGFAF48DA,38.57,0.0,3.52,有,,2,0,3290000,0
林口區,房地(土地+建物)+車位,文化三路一段61~90號,46.43,都市：其他:第五種住宅區,,,1090928,土地1建物1車位2,九層,四十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090806,418.33,0,0,0,無,有,48200000,116474,坡道平面,42.28,4400000,毛胚屋;,RPRTMLPKKIPFFBF09DA,209.64,15.56,18.19,有,,4,2,12050000,2200000
板橋區,房地(土地+建物),大同街8巷31~60號,33.2,都市：其他:住宅區,,,1100126,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,106.4,3,2,1,有,無,11500000,108083,,0.0,0,,RPQPMLNLKHGGFAF47DA,106.4,0.0,0.0,無,,2,0,5750000,0
板橋區,房地(土地+建物)+車位,文化路二段511~540號,15.88,都市：其他:住宅區,,,1100112,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880617,140.86,3,2,2,有,有,18500000,131336,升降機械,11.69,0,親友、員工、共有人或其他特殊關係間之交易;,RPVPMLNLKHGGFAF97DA,95.27,0.0,12.98,有,,3,1,6166666,0
板橋區,房地(土地+建物),中正路91~120號,14.62,都市：其他:住宅區,,,1100111,土地1建物1車位0,十三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050715,107.05000000000001,1,2,1,有,有,16680000,155815,,0.0,0,,RPXPMLNLKHGGFAF18DA,60.16,3.22,6.91,有,334.0,2,0,8340000,0
土城區,土地,員仁段841~870地號,85.57,都市：其他:工業區,,,1100202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13765646,160870,,0.0,0,政府機關標讓售;,RPQNMLOLKHGGFAF37DA,0.0,0.0,0.0,無,,1,0,13765646,0
土城區,房地(土地+建物),中央路四段185巷30弄1~30號,91.6,都市：其他:住宅區,,,1091231,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0770528,135.93,1,3,1,有,無,9000000,66211,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLOLKHGGFAF47DA,107.02,21.41,7.5,無,,4,0,2250000,0
土城區,房地(土地+建物),裕民路92巷1~30號,32.47,都市：其他:第二種住宅區,,,1100115,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781116,135.04,4,2,2,有,有,16900000,125148,,0.0,0,其他增建;,RPWOMLNLKHGGFAF97DA,100.6,0.0,9.92,有,,2,0,8450000,0
板橋區,房地(土地+建物),漢生西路151~180號,8.01,都市：其他:住宅區,,,1100115,土地1建物1車位0,六層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090727,77.34,2,2,1,有,有,12800000,165503,,0.0,0,,RPPOMLNLKHGGFAF27DA,47.58,0.0,2.71,有,,2,0,6400000,0
板橋區,房地(土地+建物)+車位,漢生西路151~180號,7.36,都市：其他:住宅區,,,1100122,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090727,83.21000000000001,2,2,1,有,有,12800000,169417,坡道機械,14.74,1200000,,RPSOMLNLKHGGFAF57DA,41.09,0.0,3.44,有,,3,1,4266666,1200000
板橋區,房地(土地+建物)+車位,漢生西路151~180號,10.21,都市：其他:住宅區,,,1100112,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090727,132.09,2,2,1,有,有,18100000,174313,坡道平面,38.58,1800000,車位為橫移平面車位,RPTOMLNLKHGGFAF67DA,52.83,0.0,7.99,有,,3,1,6033333,1800000
